-3.09109	-0.344922	-0.551641	-0.000328125
-3.04984	-0.29	-0.566875	-0.000375
-2.99656	-0.231641	-0.579297	-0.000453125
-2.92906	-0.175	-0.588281	-0.000265625
-2.86359	-0.128047	-0.594141	-0.000390625
-2.78781	-0.0649219	-0.595859	-0.000390625
-2.71875	-0.000859375	-0.592109	-0.00053125
-2.63844	0.0654688	-0.586406	-0.00071875
-2.56469	0.130078	-0.574844	-0.0004375
-2.50062	0.190234	-0.562109	-0.000140625
-2.44406	0.252266	-0.543984	-0.000640625
-2.37422	0.313125	-0.519531	-0.000109375
-2.29688	0.370391	-0.4975	-0.0004375
-2.22938	0.422422	-0.468984	-0.00065625
-2.16344	0.468281	-0.438672	-0.000328125
-2.10297	0.510625	-0.407187	-0.00025
-2.04359	0.548828	-0.371563	-0.0005
-1.98578	0.581797	-0.334219	-0.000453125
-1.94281	0.608594	-0.304219	-0.00034375
-1.89766	0.628203	-0.276406	-9.375e-5
-1.86594	0.641328	-0.237266	-0.000328125
-1.83781	0.647656	-0.194844	-0.00046875
-1.81719	0.648594	-0.157656	-0.000515625
-1.80109	0.640859	-0.117187	-0.000234375
-1.79453	0.625781	-0.0772656	-0.000328125
-1.79531	0.605156	-0.0392187	-0.000515625
-1.80969	0.577734	-0.00242187	-0.0005
-1.82687	0.543906	0.0300781	-0.000140625
-1.85406	0.503828	0.06375	-0.000328125
-1.88953	0.461328	0.093125	-0.0006875
-1.93672	0.412344	0.122188	-0.000265625
-1.99125	0.355781	0.14125	-0.000296875
-2.06484	0.296016	0.160859	-0.000640625
-2.13625	0.231563	0.179922	-0.000125
-2.22156	0.164922	0.191172	-0.00059375
-2.30656	0.099375	0.196328	-0.000234375
-2.40625	0.0277344	0.199063	-0.0003125
-2.48969	-0.0425	0.198047	-0.000125
-2.57469	-0.11375	0.19375	-0.00046875
-2.68219	-0.173672	0.186563	-0.00053125
-2.78172	-0.240312	0.169609	-0.0004375
-2.88609	-0.310781	0.147344	-9.375e-5
-2.98734	-0.381719	0.128203	-0.000203125
-3.07797	-0.448281	0.100313	-0.00075
-3.16125	-0.506875	0.0679688	-0.00040625
-3.24109	-0.565703	0.0323438	-3.125e-5
-3.31969	-0.620625	-0.0021875	-0.00034375
-3.38734	-0.668672	-0.0426563	-3.125e-5
-3.44813	-0.712188	-0.0847656	-0.00025
-3.49562	-0.746172	-0.126719	4.6875e-5
-3.53734	-0.774141	-0.174844	0.0
-3.57031	-0.790938	-0.21875	-0.0001875
-3.59406	-0.8025	-0.266094	0.00025
-3.60844	-0.805703	-0.302969	-0.0001875
-3.61016	-0.802656	-0.339844	-3.125e-5
-3.60813	-0.791484	-0.385313	-0.00059375
-3.59047	-0.774531	-0.431406	-0.000234375
-3.56391	-0.744453	-0.474453	-0.00025
-3.52719	-0.709375	-0.512188	-0.00034375
-3.48937	-0.664297	-0.552656	-0.00025
-3.43422	-0.612891	-0.587109	-0.00078125
-3.37531	-0.553828	-0.618828	-0.00078125
-3.30547	-0.489219	-0.644375	-0.000125
-3.22719	-0.423984	-0.670703	-0.000578125
-3.14828	-0.349297	-0.688984	0.0
-3.06766	-0.271953	-0.703125	-0.000390625
-2.97781	-0.191406	-0.714531	0.0004375
-2.88063	-0.124687	-0.718516	-9.375e-5
-2.78234	-0.0401562	-0.718984	-9.375e-5
-2.68797	0.045	-0.712891	-4.6875e-5
-2.58562	0.132656	-0.701719	-0.000515625
-2.50062	0.215469	-0.686719	-0.000265625
-2.41797	0.300859	-0.665391	-0.000125
-2.31766	0.383437	-0.638516	-0.00040625
-2.2225	0.459141	-0.612266	-0.000578125
-2.12594	0.529844	-0.575391	-0.000234375
-2.03547	0.597969	-0.53625	-0.000671875
-1.94641	0.660547	-0.495781	7.8125e-5
-1.87047	0.717422	-0.448047	-0.00059375
-1.79188	0.766094	-0.404141	-0.00053125
-1.72281	0.802422	-0.353359	-0.000140625
-1.65328	0.835313	-0.30875	-0.00040625
-1.59797	0.857891	-0.268516	0.0
-1.54672	0.871875	-0.214453	3.125e-5
-1.50656	0.876875	-0.163203	-0.000140625
-1.47531	0.871875	-0.11	-0.000140625
